Splits ,Time,Cumulative Time,Moving Time,Distance,Avg Stroke Rate,Max Stroke Rate,Avg Distance per Stroke,Avg Pace,Avg Moving Pace,Best Pace,Avg HR,Max HR,Calories
1,05:07.2,05:07.2,04:20,500,--,--,--,05:07,04:20,03:25,86,105,34
2,04:33.7,09:40.9,04:24,500,24,31,5.87,04:34,04:24,02:16,102,142,28
3,05:29.9,11:00.0,03:23,500,25,36,7.16,05:30,03:23,02:02,99,144,33
4,02:06.1,17:17,02:00,500,17,18,13.27,02:06,02:00,01:47,96,112,9
5,02:02.6,19:20,01:52,500,18,23,13.09,02:03,01:52,01:45,69,107,5
6,01:57.4,21:17,01:55,500,20,24,12.21,01:57,01:55,01:41,60,66,2
7,02:01.1,23:18,01:59,500,20,27,12.12,02:01,01:59,01:45,86,106,6
8,02:04.9,01:23,02:00,500,19,25,12.51,02:05,02:00,01:46,100,116,11
9,02:09.1,27:32:00,02:06,500,18,24,12.76,02:09,02:06,01:49,85,99,7
10,02:15.0,29:47:00,02:04,500,17,22,13.08,02:15,02:04,01:53,81,88,6
11,02:18.6,32:06:00,02:16,500,15,16,13.66,02:19,02:16,01:53,72,83,4
12,07:22.6,39:28:00,03:12,500,23,42,10.14,07:22,03:12,01:48,64,85,16
13,05:33.5,45:02:00,03:21,500,35,48,5.71,05:34,03:21,01:23,66,108,18
14,04:11.8,49:14:00,02:36,500,24,51,10.2,04:12,02:36,01:24,69,93,10
15,02:18.4,51:32:00,02:14,500,18,22,11.42,02:18,02:14,01:58,86,98,8
16,02:20.6,53:53:00,02:14,500,19,24,10.89,02:21,02:14,02:02,85,99,8
17,02:23.1,56:16:00,02:10,500,17,24,11.59,02:23,02:10,02:06,84,89,8
18,02:27.7,58:43:00,02:17,500,17,19,11.46,02:28,02:17,02:03,86,87,9
19,07:03.6,1:05:47,03:06,500,21,36,8.87,07:04,03:06,01:54,70,88,15
20,02:09.2,1:07:56,01:55,500,18,23,12.97,02:09,01:55,01:51,67,81,3
21,02:08.8,01:10:05,06:00.0,500,19,23,12.27,02:09,02:06,01:50,85,98,7
22,02:07.1,01:12:12,02:04,500,20,26,11.41,02:07,02:04,01:44,89,101,8
23,04:29.1,01:16:41,02:23,500,20,32,11.45,04:29,02:23,01:57,81,100,14
24,02:18.3,01:18:59,02:18,500,17,21,12.27,02:18,02:18,02:00,85,88,8
25,02:16.9,01:21:16,02:12,500,18,22,11.69,02:17,02:12,01:56,87,91,8
26,00:02:20,01:23:37,02:13:00,500,18,23,11.47,02:20,02:13,02:01,84,93,8
27,02:20.9,01:25:58,02:20.9,500,18,23,11.22,02:21,02:21,02:02,87,95,8
28,02:55.7,01:28:53,01:34,143,30,36,3.57,10:13,05:28,02:26,83,102,12
Summary,01:28:53,01:28:53,01:11:08,"13,643",20,51,10.92,03:15,02:36,01:23,81,144,313
