Splits ,Time,Cumulative Time,Moving Time,Distance,Avg Stroke Rate,Max Stroke Rate,Avg Distance per Stroke,Avg Pace,Avg Moving Pace,Best Pace,Avg HR,Max HR,Calories
1,03:57.5,03:57.5,02:59,500,29,40,5.83,03:57,02:59,02:06,92,110,20
2,02:20.6,06:18.0,02:10,500,18,24,12.05,02:21,02:10,01:52,54,57,2
3,02:24.4,08:42.4,02:20,500,--,--,--,02:24,02:20,01:58,52,55,2
4,02:19.4,11:02,02:11,500,18,19,12.45,02:19,02:11,01:53,52,55,2
5,02:00.0,13:02,01:47,500,24,28,10.53,02:00,01:47,01:41,53,56,2
6,04:09.3,17:11,02:40,500,24,37,7.94,04:09,02:40,01:37,64,81,8
7,03:19.9,20:31,03:07,500,23,43,8.82,03:20,03:07,01:35,59,65,8
8,01:42.3,22:13,01:38,500,34,44,8.62,01:42,01:38,01:30,64,70,2
9,02:46.1,24:59:00,02:41,500,19,42,9.42,02:46,02:41,01:34,65,68,4
10,01:43.4,26:43:00,01:43,500,34,45,8.37,01:43,01:43,01:32,63,65,2
11,02:55.7,29:38:00,02:51,500,19,41,9.39,02:56,02:51,01:42,66,73,7
12,01:43.8,31:22:00,01:41,500,34,44,8.38,01:44,01:41,01:29,109,149,12
13,06:41.7,38:04:00,03:46,500,25,43,6.21,06:42,03:46,01:44,101,135,41
14,01:45.9,39:50:00,01:41,500,33,37,8.47,01:46,01:41,01:33,144,171,21
15,03:16.8,43:07:00,03:11,500,20,41,9.81,03:17,03:11,01:39,126,166,32
16,01:45.9,44:53:00,01:42,500,34,37,8.49,01:46,01:42,01:33,148,174,21
17,02:53.8,47:46:00,02:43,500,19,41,9.01,02:54,02:43,01:43,138,172,32
18,01:44.3,49:31:00,01:33,500,33,38,8.66,01:44,01:33,01:35,149,173,21
19,07:28.9,57:00:00,02:39,500,21,40,8.19,07:29,02:39,01:46,129,164,64
20,02:39.0,59:39:00,02:26,500,17,20,10.72,02:39,02:26,01:48,141,150,30
21,01:44.8,01:01:23,01:44.8,500,33,37,8.95,01:45,01:45,01:34,157,193,23
22,02:47.2,01:04:11,02:41,500,20,41,8.93,02:47,02:41,01:37,135,161,25
23,01:44.7,01:05:55,01:42,500,34,42,8.3,01:45,01:42,01:33,148,173,20
24,04:20.9,01:10:16,02:14,500,21,42,10.49,04:21,02:14,01:40,136,165,40
25,02:20.8,01:12:37,02:06,371,19,33,9.71,03:10,02:50,02:07,138,142,23
Summary,01:12:37,01:12:37,01:00:35,"12,371",25,45,8.88,02:56,02:27,01:29,103,193,464
