Splits ,Time,Cumulative Time,Moving Time,Distance,Avg Stroke Rate,Max Stroke Rate,Avg Distance per Stroke,Avg Pace,Avg Moving Pace,Best Pace,Avg HR,Max HR,Calories
1,05:58.5,05:58.5,04:22,500,35,37,2.52,05:58,04:22,03:07,98,122,42
2,04:45.4,44:00.0,04:23,500,14,14,8.3,04:45,04:23,03:03,107,123,35
3,03:37.3,21:00.0,03:32,500,23,32,6.93,03:37,03:32,02:12,114,133,28
4,04:46.7,19:08,02:51,500,20,33,11.43,04:47,02:51,01:51,107,114,27
5,01:59.8,21:08,00:02,500,22,27,11.15,02:00,02:00,01:41,115,126,14
6,02:08.4,23:16,02:08,500,24,35,9.85,02:08,02:08,01:31,102,128,10
7,07:11.0,06:27,03:48,500,25,40,7.92,07:11,03:48,01:34,104,139,37
8,01:38.8,08:06,01:37,500,33,37,9.08,01:39,01:37,01:28,107,163,10
9,01:39.8,33:46:00,01:32,500,34,44,8.89,01:40,01:32,01:27,169,178,25
10,02:28.1,36:14:00,02:18,500,21,44,10.37,02:28,02:18,01:39,142,170,29
11,06:47.4,43:01:00,04:05,500,22,38,8.11,06:47,04:05,02:00,114,126,37
12,02:39.8,45:41:00,02:35,500,19,24,9.55,02:40,02:35,01:42,97,108,9
13,01:52.3,47:33:00,01:52,500,34,36,7.75,01:52,01:52,01:40,112,168,9
14,02:52.3,50:26:00,02:52,500,20,40,8.93,02:52,02:52,01:49,130,165,25
15,06:26.8,56:52:00,02:58,500,22,37,7.83,06:27,02:58,01:53,108,139,30
16,01:44.7,58:37:00,01:40,500,34,37,8.35,01:45,01:40,01:36,142,178,17
17,01:45.6,1:00:23,01:42,500,34,42,8.13,01:46,01:42,01:37,170,180,26
18,04:16.5,1:04:39,03:29,500,21,44,8.87,04:16,03:29,01:40,127,181,34
19,00:01.3,1:04:40,--,3,--,--,--,03:36,--,--,--,--,--
Summary,04:40.0,1:04:40,03:17,"9,003",25,44,8.8,03:36,02:51,01:27,115,181,444
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
